tdate,dis_name,positive_cases
2020-06-21,Jessore,28
2020-06-21,Jhenaidah,1
2020-06-21,Khulna,338
2020-06-21,Kushtia,85
2020-06-21,Magura,3
2020-06-21,Meherpur,3
2020-06-21,Narail,9
2020-06-21,Satkhira,5
2020-06-21,Jamalpur,34
2020-06-21,Mymensingh,181
2020-06-21,Netrakona,3
2020-06-21,Sherpur,3
2020-06-21,Bogra,162
2020-06-21,Joypurhat,4
2020-06-21,Naogaon,7
2020-06-21,Natore,29
2020-06-21,Nawabganj,5
2020-06-21,Pabna,13
2020-06-21,Rajshahi,29
2020-06-21,Sirajganj,9
2020-06-21,Dinajpur,37
2020-06-21,Gaibandha,10
2020-06-21,Kurigram,8
2020-06-21,Lalmonirhat,8
2020-06-21,Nilphamari,8
2020-06-21,Panchagarh,2
2020-06-21,Rangpur,47
2020-06-21,Thakurgaon,11
2020-06-21,Habiganj,79
2020-06-21,Maulvibazar,47
2020-06-21,Sunamganj,14
2020-06-21,Sylhet,143
2020-06-20, ,1
2020-06-20,Barguna,8
2020-06-20,Barisal,39
2020-06-20,Bhola,2
2020-06-20,Jhalokati,10
2020-06-20,Patuakhali,5
2020-06-20,Pirojpur,3
2020-06-20,Bandarban,32
2020-06-20,Brahamanbaria,81
2020-06-20,Chandpur,68
2020-06-20,Chittagong,275
2020-06-20,Comilla,73
2020-06-20,Cox's Bazar,134
2020-06-20,Feni,4
2020-06-20,Khagrachhari,1
2020-06-20,Lakshmipur,12
2020-06-20,Noakhali,7
2020-06-20,Rangamati,4
2020-06-20,Dhaka,1245
2020-06-20,Faridpur,54
2020-06-20,Gazipur,54
2020-06-20,Gopalganj,13
2020-06-20,Kishoreganj,8
2020-06-20,Madaripur,5
2020-06-20,Manikganj,36
2020-06-20,Munshiganj,10
2020-06-20,Narayanganj,63
2020-06-20,Narsingdi,11
2020-06-20,Rajbari,6
2020-06-20,Shariatpur,3
2020-06-20,Tangail,10
2020-06-20,Bagerhat,6
2020-06-20,Chuadanga,4
2020-06-20,Jessore,11
2020-06-20,Khulna,166
2020-06-20,Kushtia,19
2020-06-20,Magura,1
2020-06-20,Meherpur,4
2020-06-20,Narail,7
2020-06-20,Satkhira,2
2020-06-20,Jamalpur,14
2020-06-20,Mymensingh,171
2020-06-20,Netrakona,27
2020-06-20,Sherpur,31
2020-06-20,Bogra,102
2020-06-20,Joypurhat,2
2020-06-20,Naogaon,2
2020-06-20,Natore,9
2020-06-20,Nawabganj,2
2020-06-20,Pabna,5
2020-06-20,Rajshahi,10
2020-06-20,Sirajganj,7
2020-06-20,Dinajpur,23
2020-06-20,Gaibandha,14
2020-06-20,Kurigram,5
2020-06-20,Lalmonirhat,3
2020-06-20,Nilphamari,16
2020-06-20,Panchagarh,4
2020-06-20,Rangpur,26
2020-06-20,Habiganj,31
2020-06-20,Maulvibazar,12
2020-06-20,Sunamganj,8
2020-06-20,Sylhet,107
2020-06-19, ,1
2020-06-19,Barguna,8
2020-06-19,Barisal,72
2020-06-19,Bhola,23
2020-06-19,Jhalokati,19
2020-06-19,Patuakhali,18
2020-06-19,Pirojpur,4
2020-06-19,Bandarban,57
2020-06-19,Brahamanbaria,6
2020-06-19,Chandpur,38
2020-06-19,Chittagong,353
2020-06-19,Comilla,167
2020-06-19,Cox's Bazar,277
2020-06-19,Feni,12
2020-06-19,Khagrachhari,21
2020-06-19,Lakshmipur,7
2020-06-19,Noakhali,34
2020-06-19,Rangamati,3
2020-06-19,Dhaka,855
2020-06-19,Faridpur,32
2020-06-19,Gazipur,82
2020-06-19,Gopalganj,9
2020-06-19,Kishoreganj,6
2020-06-19,Madaripur,2
2020-06-19,Manikganj,25
2020-06-19,Munshiganj,38
2020-06-19,Narayanganj,116
2020-06-19,Narsingdi,3
2020-06-19,Rajbari,1
2020-06-19,Shariatpur,1
2020-06-19,Tangail,3
2020-06-19,Bagerhat,8
2020-06-19,Chuadanga,19
2020-06-19,Jessore,35
2020-06-19,Jhenaidah,5
